,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21
0,0,1,2,2,4,0,0,6,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,3,1,1,3,0,0,2,0,3,0,6,1,0,-1,0,1,0,0,1,1,2,1,2,2,2,0,1,0,0,2,0,2,1,0,1
1,0,1,1,1,3,5,2,2,-1,0,0,0,0,1,0,0,0,0,1,0,3,4,0,0,5,0,0,1,1,2,5,2,5,0,1,2,2,1,1,2,0,0,1,0,2,1,2,0,1,0,2,0,2,0,1,1
2,0,1,1,1,3,3,2,1,-1,-1,0,0,0,1,0,0,0,0,1,0,3,1,0,0,5,0,0,1,1,2,5,2,5,0,1,0,0,1,2,1,1,0,0,0,2,2,0,0,1,0,2,1,2,1,1,1
3,0,1,1,1,3,3,6,1,-1,1,1,1,0,1,0,0,0,0,1,0,3,1,0,4,1,0,0,1,1,2,3,0,3,0,-1,1,2,2,2,2,2,0,1,2,2,0,0,2,1,2,2,0,1,1,0,0
4,0,1,2,2,4,0,3,7,-1,-1,2,0,0,1,0,0,0,0,0,1,0,3,5,1,3,0,0,2,0,3,0,4,6,0,5,1,0,0,1,0,2,2,1,2,1,1,2,2,0,2,1,0,1,1,1,2
5,0,1,1,1,3,3,6,1,-1,1,1,1,0,1,0,0,0,0,1,0,3,1,0,4,1,0,0,1,1,2,3,0,3,0,-1,2,2,2,0,0,2,0,2,2,2,2,0,1,0,2,0,2,1,2,2,2
6,0,1,1,1,3,3,6,1,0,2,3,2,0,1,0,0,0,0,1,0,3,1,0,4,1,0,0,1,1,2,3,0,3,0,6,2,1,1,0,0,0,0,0,1,1,2,0,2,1,2,2,2,2,2,1,1
7,0,1,1,1,1,0,0,6,1,3,4,3,1,1,0,0,0,0,0,0,3,4,1,3,5,0,0,1,1,2,5,6,1,0,-1,0,1,2,1,2,1,0,2,2,1,2,2,1,2,0,2,2,1,0,1,1
8,0,1,1,1,3,5,2,2,2,0,0,0,0,1,0,0,0,0,1,0,3,4,0,0,5,0,0,1,1,2,5,2,5,0,1,2,1,0,1,2,2,1,2,1,2,2,2,1,2,2,2,1,0,1,0,1
9,0,1,1,1,3,5,2,2,2,0,0,0,0,1,0,0,0,0,1,0,3,4,0,0,5,0,0,1,1,2,5,2,5,0,1,2,1,2,0,0,2,2,1,2,1,2,1,1,2,1,0,1,0,0,2,1
10,0,1,1,1,3,3,6,1,3,4,5,4,2,1,0,0,0,0,1,0,3,1,0,4,1,0,0,1,1,2,3,0,3,0,-1,0,1,1,1,0,0,1,2,1,2,0,0,1,0,1,1,2,1,0,2,0
11,0,1,1,1,3,3,6,1,0,2,3,2,0,1,0,0,0,0,1,0,3,1,0,4,1,0,0,1,1,2,3,0,3,0,6,1,2,1,2,0,1,2,2,1,2,0,1,2,1,0,0,2,0,1,2,2
12,0,1,1,1,3,3,6,1,-1,-1,-1,-1,0,1,0,0,0,0,1,0,3,1,0,4,1,0,0,1,1,2,3,0,3,0,6,0,0,1,1,2,1,2,2,0,2,0,1,2,2,0,0,1,1,0,2,0
