,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48,random_model_n49,random_model_n50,random_model_n51,random_model_n52,random_model_n53,random_model_n54,random_model_n55,random_model_n56,random_model_n57,random_model_n58,random_model_n59,random_model_n60,random_model_n61,random_model_n62,random_model_n63,random_model_n64,random_model_n65,random_model_n66,random_model_n67,random_model_n68
0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,0,3,2,4,2,2,0,0,1,0,2,2,3,2,3,3,2,1,1,3,2,3,0,1,3,2,1,3,1,1,3,2,0,1,3,1,1,1,2,3,0,1,1,1,3,1,1,2,0,2,0,0,3,1,3,0,2,0,2,1,1,3,1,1,3,3,1,1,3,2,0,0,2,0,3,3
1,0,0,0,3,2,2,6,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,5,7,0,0,2,1,1,0,4,6,0,0,3,3,0,2,2,1,0,0,0,1,3,3,0,0,1,2,1,3,2,2,3,0,2,3,2,2,0,1,3,1,3,3,3,2,3,2,3,3,1,3,3,3,0,3,2,1,2,3,1,0,1,0,1,1,2,0,2,0,0,1,2,0,0,2,1,0,1,2
2,0,0,1,0,3,4,2,2,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,6,0,1,0,3,3,3,4,4,0,0,0,1,1,3,3,3,1,1,2,0,0,2,2,0,0,1,3,0,1,3,0,0,0,0,2,2,0,1,0,1,0,1,0,2,0,2,0,1,1,3,0,0,3,1,3,0,3,1,0,3,1,3,1,2,3,3,1,3,1,2,2,1,3,3,3,3,2,3
3,0,0,0,3,2,5,0,6,3,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,1,1,1,3,0,0,0,0,0,3,1,1,0,2,1,1,3,3,1,0,2,1,1,2,1,2,3,0,0,1,3,3,0,3,2,1,1,2,2,2,1,3,0,3,3,0,1,2,2,1,1,0,0,0,0,1,1,0,1,1,3,0,0,2,1,3,2,0,1,3,2,0,3,1,0
4,0,1,0,1,1,1,3,1,4,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,1,2,0,5,6,6,0,0,3,2,0,1,2,2,3,1,2,0,1,1,2,3,3,1,2,2,0,0,0,0,2,1,1,1,0,0,2,0,2,0,2,2,1,1,0,0,0,0,0,2,1,3,0,2,0,3,2,1,1,3,3,3,1,2,3,2,3,3,3,3,2,2,1,2,3,2
5,0,1,2,2,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,0,0,2,4,2,2,0,0,1,3,0,0,2,1,3,2,0,1,3,2,2,1,0,3,1,1,3,2,0,2,0,1,2,2,0,0,0,0,3,2,1,1,0,2,1,0,2,0,1,3,2,3,3,3,3,0,0,2,1,2,1,1,1,3,0,1,3,3,2,3,0,1,3,1,1,0
6,0,0,1,3,2,5,0,6,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,2,1,1,1,3,0,0,0,3,2,0,3,0,3,3,0,3,3,1,3,0,2,0,0,0,2,0,1,0,2,3,1,3,3,1,3,0,3,2,0,1,0,3,2,2,2,3,2,3,0,0,0,1,2,0,0,2,0,0,0,2,0,1,2,2,3,1,0,2,2,1,0,0,3,1,0
7,0,1,2,2,4,3,5,3,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,1,0,4,2,1,5,0,0,1,3,1,0,1,2,3,3,2,0,0,3,1,2,3,1,1,2,2,0,3,3,1,0,3,1,0,3,1,2,0,3,3,3,0,0,2,1,3,1,1,0,3,0,1,3,3,2,0,2,1,3,0,0,1,2,0,0,1,1,3,1,0,3,1,2,3,0
8,0,1,2,2,4,3,1,7,8,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,1,0,2,4,5,3,0,0,3,0,1,2,0,0,0,0,1,1,1,0,0,0,3,3,2,2,3,3,0,0,0,3,0,2,1,0,1,1,0,0,2,1,1,1,3,3,0,0,3,2,1,3,3,1,3,2,1,1,2,0,3,3,3,1,0,1,0,1,2,1,2,1,2,1,3,0
9,0,1,2,1,1,1,5,5,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,2,4,2,1,5,0,0,0,3,3,1,0,2,1,3,1,1,3,0,2,2,3,0,3,0,2,2,2,0,3,3,2,0,1,0,0,3,1,3,1,3,0,1,3,1,0,3,1,1,3,3,0,0,0,2,1,2,0,1,3,1,1,3,1,1,3,2,1,0,3,0,2,3,2,3
